Open,High,Low,Close,WAP,NoofShares,NoofTrades,TotalTurnover,DeliverableQuantity,DeliQtytoTradedQty,SpreadHL,SpreadCO
277.0,278.65,276.1,277.8,277.18,689752.0,4140.0,191188371.0,326037.0,47.27,2.55,0.8
276.7,276.9,274.35,276.15,275.68,480004.0,2937.0,132328945.0,262530.0,54.69,2.55,-0.55
276.5,278.75,273.85,275.05,275.69,480774.0,3126.0,132546786.0,197216.0,41.02,4.9,-1.45
276.0,276.75,274.05,274.95,275.59,544201.0,2800.0,149974744.0,262546.0,48.24,2.7,-1.05
275.0,277.2,273.3,276.75,275.92,497360.0,2951.0,137231510.0,215215.0,43.27,3.9,1.75
276.0,276.0,273.25,274.3,274.16,774462.0,5115.0,212323456.0,203016.0,26.21,2.75,-1.7
276.0,277.0,274.1,274.9,274.95,375657.0,3092.0,103286210.0,199263.0,53.04,2.9,-1.1
277.5,278.4,274.0,275.85,275.13,441211.0,3625.0,121392141.0,199259.0,45.16,4.4,-1.65
274.15,278.75,274.0,275.1,276.75,294348.0,3340.0,81459660.0,89286.0,30.33,4.75,0.95
280.5,282.15,273.75,274.15,276.76,775398.0,5394.0,214596811.0,271348.0,34.99,8.4,-6.35
279.0,280.6,275.5,279.6,278.54,250631.0,2761.0,69810228.0,72264.0,28.83,5.1,0.6
278.0,280.0,276.9,277.9,278.34,655544.0,5274.0,182461396.0,262778.0,40.09,3.1,-0.1
279.2,283.55,275.35,277.1,279.12,784496.0,9324.0,218967090.0,261667.0,33.35,8.2,-2.1
277.45,280.45,274.5,275.45,277.49,481271.0,3183.0,133548163.0,192818.0,40.06,5.95,-2.0
278.3,278.3,268.5,277.45,275.02,639298.0,4479.0,175819680.0,296438.0,46.37,9.8,-0.85
281.0,281.0,274.6,275.85,277.41,247481.0,2140.0,68654359.0,100533.0,40.62,6.4,-5.15
278.25,280.5,277.1,279.75,278.65,521892.0,2959.0,145424269.0,260242.0,49.87,3.4,1.5
274.4,278.1,274.4,277.55,276.79,492412.0,3837.0,136296741.0,265823.0,53.98,3.7,3.15
277.2,277.9,272.85,274.4,274.77,564585.0,4283.0,155131034.0,268981.0,47.64,5.05,-2.8
281.7,281.7,276.2,276.9,277.58,412232.0,2914.0,114427041.0,158908.0,38.55,5.5,-4.8
280.0,284.9,279.25,280.8,281.63,1350645.0,6958.0,380376269.0,521514.0,38.61,5.65,0.8
277.4,279.5,273.7,278.75,276.86,950286.0,5916.0,263096867.0,436356.0,45.92,5.8,1.35
280.0,280.3,273.75,274.8,275.3,730444.0,5464.0,201090067.0,320287.0,43.85,6.55,-5.2
276.0,279.0,274.65,278.55,276.56,546163.0,6010.0,151045241.0,265113.0,48.54,4.35,2.55
279.3,279.7,274.1,274.65,276.22,640836.0,5142.0,177014060.0,206695.0,32.25,5.6,-4.65
279.1,282.6,278.5,279.25,280.77,439555.0,5227.0,123414734.0,149451.0,34.0,4.1,0.15
279.45,283.3,278.05,278.9,280.63,1635584.0,10388.0,459001101.0,729899.0,44.63,5.25,-0.55
292.0,294.3,275.0,277.7,285.61,1855216.0,14874.0,529863089.0,586339.0,31.6,19.3,-14.3
290.0,291.7,285.2,289.75,287.86,323793.0,3169.0,93205958.0,117798.0,36.38,6.5,-0.25
291.0,292.5,288.65,289.65,291.39,656914.0,3000.0,191420205.0,475854.0,72.44,3.85,-1.35
294.0,294.95,290.5,291.1,291.61,313842.0,2141.0,91518910.0,118431.0,37.74,4.45,-2.9
295.95,295.95,290.15,293.9,292.5,615473.0,4126.0,180024469.0,257083.0,41.77,5.8,-2.05
297.0,297.0,291.8,294.0,293.95,573155.0,3463.0,168478350.0,211702.0,36.94,5.2,-3.0
