Open,High,Low,Close,WAP,NoofShares,NoofTrades,TotalTurnover,DeliverableQuantity,DeliQtytoTradedQty,SpreadHL,SpreadCO
2084.0,2114.9,2078.45,2083.2,2089.23,117718.0,2044.0,245939566.0,69600.0,59.12,36.45,-0.8
2091.8,2106.0,2076.05,2082.15,2094.79,63472.0,3596.0,132960721.0,26237.0,41.34,29.95,-9.65
2114.0,2124.75,2088.5,2091.6,2099.63,77398.0,2097.0,162507253.0,19171.0,24.77,36.25,-22.4
2117.9,2124.0,2103.0,2110.25,2112.79,61347.0,2113.0,129613087.0,23474.0,38.26,21.0,-7.65
2098.45,2127.5,2098.45,2123.35,2113.81,66830.0,2359.0,141265620.0,30253.0,45.27,29.05,24.9
2120.0,2124.9,2089.1,2091.65,2108.78,240235.0,4782.0,506603188.0,34990.0,14.56,35.8,-28.35
2107.0,2119.0,2094.2,2115.15,2104.81,51878.0,2237.0,109193554.0,16158.0,31.15,24.8,8.15
2085.0,2110.0,2081.65,2106.55,2096.97,66263.0,1741.0,138951421.0,22949.0,34.63,28.35,21.55
2091.0,2108.7,2078.15,2084.3,2093.94,39799.0,1387.0,83336567.0,11146.0,28.01,30.55,-6.7
2103.05,2119.2,2086.1,2089.95,2095.8,43769.0,1605.0,91731233.0,20265.0,46.3,33.1,-13.1
2110.0,2110.0,2078.6,2101.1,2090.98,72526.0,4013.0,151650318.0,30458.0,42.0,31.4,-8.9
2140.0,2140.0,2107.1,2109.75,2115.84,72757.0,1786.0,153942294.0,33131.0,45.54,32.9,-30.25
2131.1,2154.35,2131.1,2140.25,2146.49,62063.0,2202.0,133217602.0,22591.0,36.4,23.25,9.15
2139.0,2148.3,2125.2,2129.7,2138.25,39592.0,1682.0,84657688.0,15865.0,40.07,23.1,-9.3
2123.0,2140.0,2114.0,2137.35,2124.47,352024.0,3773.0,747864253.0,77839.0,22.11,26.0,14.35
2114.0,2142.8,2104.95,2123.15,2125.77,72699.0,2334.0,154541101.0,35631.0,49.01,37.85,9.15
2127.0,2130.0,2109.0,2117.05,2122.9,63606.0,3360.0,135029417.0,25929.0,40.77,21.0,-9.95
2120.0,2125.2,2113.95,2123.0,2121.65,79081.0,4319.0,167782498.0,41070.0,51.93,11.25,3.0
2109.0,2119.0,2097.25,2114.9,2112.24,103047.0,4783.0,217660211.0,71607.0,69.49,21.75,5.9
2099.0,2113.0,2083.0,2107.0,2099.33,77012.0,2769.0,161673897.0,30113.0,39.1,30.0,8.0
2082.0,2117.0,2078.0,2091.65,2102.31,167600.0,4320.0,352346499.0,83388.0,49.75,39.0,9.65
2039.0,2090.0,2023.0,2081.15,2063.34,101393.0,4475.0,209208237.0,26393.0,26.03,67.0,42.15
2076.0,2076.0,2028.0,2032.55,2035.1,130023.0,6290.0,264609345.0,73454.0,56.49,48.0,-43.45
2084.0,2084.0,2053.8,2058.1,2066.77,137653.0,5124.0,284497402.0,69072.0,50.18,30.2,-25.9
2099.0,2100.9,2077.25,2083.55,2094.87,715721.0,4830.0,1499339230.0,44141.0,6.17,23.65,-15.45
2103.9,2109.75,2090.1,2093.95,2102.28,115668.0,4480.0,243166307.0,54090.0,46.76,19.65,-9.95
2112.0,2121.65,2097.0,2101.9,2110.33,131158.0,6546.0,276786250.0,70850.0,54.02,24.65,-10.1
2136.1,2150.05,2102.4,2109.75,2125.76,79321.0,3032.0,168617023.0,38098.0,48.03,47.65,-26.35
2173.0,2173.0,2130.0,2134.35,2137.25,64467.0,2511.0,137781832.0,24188.0,37.52,43.0,-38.65
2149.0,2165.0,2125.55,2146.55,2149.92,180432.0,6386.0,387914921.0,41972.0,23.26,39.45,-2.45
2126.0,2139.75,2115.0,2131.2,2129.78,50299.0,1618.0,107125971.0,15116.0,30.05,24.75,5.2
2121.0,2134.85,2114.0,2129.05,2122.31,172746.0,1989.0,366620442.0,143092.0,82.83,20.85,8.05
2120.0,2124.0,2108.9,2120.0,2119.99,2892853.0,2428.0,6132817511.0,2854400.0,98.67,15.1,0.0
2105.0,2126.0,2100.05,2121.05,2119.21,65660.0,1982.0,139147105.0,24670.0,37.57,25.95,16.05
2114.55,2114.55,2097.0,2100.85,2102.65,27271.0,1814.0,57341341.0,12918.0,47.37,17.55,-13.7
2114.0,2124.0,2107.0,2112.15,2115.46,45199.0,1921.0,95616715.0,13222.0,29.25,17.0,-1.85
