Open,High,Low,Close,WAP,NoofShares,NoofTrades,TotalTurnover,DeliverableQuantity,DeliQtytoTradedQty,SpreadHL,SpreadCO
1739.85,1748.5,1731.25,1734.95,1738.05,31689.0,1551.0,55077027.0,14366.0,45.33,17.25,-4.9
1741.5,1756.65,1728.0,1731.35,1743.72,58114.0,2378.0,101334426.0,20687.0,35.6,28.65,-10.15
1788.0,1788.0,1729.0,1735.75,1746.2,46583.0,2297.0,81343197.0,19049.0,40.89,59.0,-52.25
1770.0,1784.25,1743.0,1767.0,1773.36,78096.0,2840.0,138492126.0,28825.0,36.91,41.25,-3.0
1775.0,1775.0,1759.5,1770.4,1768.55,52230.0,2129.0,92371364.0,25318.0,48.47,15.5,-4.6
1761.95,1771.2,1753.5,1767.8,1766.35,40089.0,1381.0,70811275.0,14303.0,35.68,17.7,5.85
1740.0,1756.55,1738.05,1753.6,1750.04,48856.0,2718.0,85499996.0,22494.0,46.04,18.5,13.6
1740.0,1744.05,1722.0,1733.6,1730.57,71269.0,3224.0,123335643.0,38506.0,54.03,22.05,-6.4
1753.0,1758.95,1730.5,1738.75,1743.35,46574.0,1878.0,81194969.0,19701.0,42.3,28.45,-14.25
1775.0,1775.0,1734.95,1752.3,1745.46,89973.0,2343.0,157044130.0,51300.0,57.02,40.05,-22.7
1792.0,1792.0,1748.5,1773.05,1766.89,104375.0,2809.0,184419310.0,44025.0,42.18,43.5,-18.95
1794.5,1796.45,1775.9,1782.2,1785.36,68343.0,2768.0,122017107.0,30406.0,44.49,20.55,-12.3
1796.0,1813.0,1792.0,1798.95,1804.03,54334.0,3464.0,98019985.0,26692.0,49.13,21.0,2.95
1805.0,1808.05,1789.0,1794.85,1796.68,40724.0,2755.0,73167796.0,19305.0,47.4,19.05,-10.15
1818.0,1818.0,1797.0,1805.35,1804.65,31191.0,1451.0,56288939.0,13442.0,43.1,21.0,-12.65
1841.0,1847.15,1811.0,1817.4,1824.86,129998.0,2726.0,237228398.0,82638.0,63.57,36.15,-23.6
1830.0,1843.55,1829.0,1836.9,1838.8,136939.0,2449.0,251803737.0,82931.0,60.56,14.55,6.9
1833.0,1835.65,1817.0,1828.55,1829.25,82370.0,1778.0,150675301.0,46579.0,56.55,18.65,-4.45
1803.0,1832.6,1803.0,1821.2,1828.38,233958.0,5205.0,427765028.0,173630.0,74.21,29.6,18.2
1798.9,1822.4,1796.25,1803.15,1805.75,294990.0,4231.0,532679192.0,211110.0,71.57,26.15,4.25
1767.0,1832.0,1762.0,1796.25,1801.7,162501.0,5394.0,292777431.0,53161.0,32.71,70.0,29.25
1746.9,1772.5,1737.05,1762.25,1763.44,61758.0,2755.0,108906813.0,22383.0,36.24,35.45,15.35
1754.0,1760.1,1726.3,1730.1,1738.88,68157.0,2230.0,118516505.0,30381.0,44.58,33.8,-23.9
1748.0,1759.75,1725.0,1751.5,1747.48,209274.0,2750.0,365701864.0,161424.0,77.14,34.75,3.5
1764.0,1770.5,1737.0,1740.65,1751.48,51286.0,1693.0,89826264.0,21108.0,41.16,33.5,-23.35
1765.85,1777.5,1748.5,1753.0,1763.62,75831.0,1783.0,133736944.0,15675.0,20.67,29.0,-12.85
1766.0,1782.5,1755.8,1758.75,1765.42,167731.0,2765.0,296115407.0,99027.0,59.04,26.7,-7.25
1752.5,1783.6,1750.5,1765.7,1772.65,180622.0,4499.0,320179540.0,76316.0,42.25,33.1,13.2
1744.5,1754.0,1742.0,1749.9,1749.58,123940.0,1549.0,216843456.0,98188.0,79.22,12.0,5.4
1762.95,1762.95,1736.5,1748.3,1748.43,188443.0,2860.0,329479313.0,140326.0,74.47,26.45,-14.65
1757.0,1768.65,1728.65,1743.7,1748.01,193635.0,5504.0,338475727.0,96709.0,49.94,40.0,-13.3
1779.7,1789.0,1743.25,1750.1,1767.59,174069.0,3258.0,307682707.0,117945.0,67.76,45.75,-29.6
1781.2,1793.2,1768.0,1770.0,1775.88,68100.0,1981.0,120937097.0,28496.0,41.84,25.2,-11.2
1768.15,1792.25,1768.15,1787.65,1777.18,461060.0,4477.0,819384324.0,404241.0,87.68,24.1,19.5
1770.0,1780.35,1759.1,1763.5,1767.42,97941.0,2362.0,173102615.0,52041.0,53.14,21.25,-6.5
1795.0,1795.0,1755.0,1768.35,1758.7,330926.0,2353.0,581999228.0,267127.0,80.72,40.0,-26.65
1786.05,1799.0,1779.5,1785.9,1788.83,33675.0,1299.0,60238868.0,12068.0,35.84,19.5,-0.15
1780.1,1795.4,1774.0,1783.2,1784.75,94092.0,2132.0,167930358.0,56129.0,59.65,21.4,3.1
1784.0,1792.45,1761.1,1770.6,1774.2,40167.0,2072.0,71264383.0,18297.0,45.55,31.35,-13.4
1790.35,1804.2,1782.25,1784.7,1789.12,33148.0,1292.0,59305610.0,18269.0,55.11,21.95,-5.65
1792.0,1800.75,1773.0,1780.25,1782.56,70687.0,2266.0,126004066.0,20326.0,28.75,27.75,-11.75
1784.0,1802.6,1783.25,1787.35,1793.7,55705.0,2836.0,99918244.0,18149.0,32.58,19.35,3.35
1798.0,1808.7,1772.55,1784.0,1787.0,50367.0,2292.0,90005971.0,14765.0,29.31,36.15,-14.0
1821.0,1860.0,1797.45,1803.1,1803.73,138268.0,2744.0,249397826.0,97964.0,70.85,62.55,-17.9
1822.0,1836.0,1811.0,1818.05,1819.03,90545.0,1470.0,164704148.0,58074.0,64.14,25.0,-3.95
1811.0,1834.0,1811.0,1820.1,1825.1,94277.0,3475.0,172065099.0,38868.0,41.23,23.0,9.1
1806.8,1819.0,1791.35,1811.25,1805.25,78100.0,3386.0,140989636.0,23963.0,30.68,27.65,4.45
1759.0,1798.6,1742.0,1791.15,1776.43,448578.0,7105.0,796869570.0,265313.0,59.15,56.6,32.15
1811.3,1813.3,1776.05,1783.55,1796.43,150011.0,3758.0,269484326.0,67723.0,45.15,37.25,-27.75
1834.0,1840.05,1796.75,1803.6,1816.8,85853.0,2842.0,155978112.0,27624.0,32.18,43.3,-30.4
1838.0,1854.3,1821.8,1833.9,1843.0,1389944.0,3035.0,2561662515.0,1319266.0,94.92,32.5,-4.1
1846.05,1858.05,1841.8,1844.0,1851.53,273461.0,3467.0,506320715.0,220093.0,80.48,16.25,-2.05
1850.0,1850.0,1833.7,1841.1,1839.88,169034.0,3832.0,311003093.0,123101.0,72.83,16.3,-8.9
1861.6,1870.5,1845.85,1851.4,1857.28,125255.0,3275.0,232633645.0,33149.0,26.47,24.65,-10.2
1848.0,1864.0,1833.65,1856.8,1853.09,78851.0,2656.0,146118259.0,15610.0,19.8,30.35,8.8
1845.05,1865.0,1837.8,1853.0,1852.69,134705.0,7015.0,249566325.0,58139.0,43.16,27.2,7.95
1790.0,1845.0,1790.0,1839.05,1828.77,80821.0,2524.0,147802662.0,30097.0,37.24,55.0,49.05
1790.0,1820.0,1772.0,1795.2,1797.27,102653.0,3669.0,184495208.0,26356.0,25.67,48.0,5.2
1808.0,1820.25,1790.3,1797.1,1803.02,86717.0,3400.0,156352270.0,24096.0,27.79,29.95,-10.9
1804.0,1832.65,1792.55,1822.85,1815.02,110597.0,3156.0,200735461.0,21163.0,19.14,40.1,18.85
1843.0,1846.85,1795.1,1800.4,1818.82,120045.0,4401.0,218339883.0,34036.0,28.35,51.75,-42.6
1805.0,1852.0,1788.0,1845.6,1825.82,159700.0,5455.0,291583013.0,37366.0,23.4,64.0,40.6
1838.0,1848.85,1801.2,1808.25,1817.13,172773.0,5523.0,313950732.0,50050.0,28.97,47.65,-29.75
1779.9,1839.5,1746.5,1825.9,1794.85,274550.0,9331.0,492775599.0,46517.0,16.94,93.0,46.0
1780.0,1796.7,1742.25,1753.6,1762.0,86702.0,2682.0,152768678.0,31652.0,36.51,54.45,-26.4
1743.0,1777.0,1737.3,1765.35,1760.11,121659.0,4147.0,214133388.0,41912.0,34.45,39.7,22.35
1733.0,1748.7,1716.0,1730.8,1730.88,89220.0,2904.0,154429513.0,25562.0,28.65,32.7,-2.2
1741.9,1741.9,1710.2,1732.65,1726.13,67688.0,2812.0,116837959.0,18509.0,27.34,31.7,-9.25
1678.0,1749.0,1678.0,1745.15,1731.5,292755.0,6112.0,506904643.0,167040.0,57.06,71.0,67.15
1690.1,1702.5,1663.3,1674.65,1681.32,40691.0,1878.0,68414743.0,12005.0,29.5,39.2,-15.45
1685.3,1706.0,1679.0,1689.9,1692.48,35350.0,1224.0,59828994.0,10469.0,29.62,27.0,4.6
1705.0,1710.0,1685.55,1693.55,1700.59,34010.0,1458.0,57836942.0,9190.0,27.02,24.45,-11.45
1690.15,1709.0,1677.8,1701.35,1692.43,67510.0,2017.0,114256051.0,26324.0,38.99,31.2,11.2
1705.0,1717.5,1684.5,1690.75,1697.31,28655.0,1306.0,48636331.0,7344.0,25.63,33.0,-14.25
1717.8,1727.95,1698.15,1705.6,1716.69,378972.0,2008.0,650575902.0,11301.0,2.98,29.8,-12.2
1672.0,1739.0,1668.0,1718.2,1715.04,552313.0,7432.0,947241338.0,394303.0,71.39,71.0,46.2
1652.0,1678.75,1637.0,1672.15,1659.59,30810.0,1411.0,51131940.0,7495.0,24.33,41.75,20.15
1675.0,1678.5,1648.6,1653.85,1662.56,53878.0,1729.0,89575492.0,22553.0,41.86,29.9,-21.15
1642.75,1678.9,1638.3,1672.55,1666.89,65493.0,3141.0,109169475.0,19626.0,29.97,40.6,29.8
1634.0,1644.0,1629.0,1640.05,1639.01,20317.0,757.0,33299690.0,9577.0,47.14,15.0,6.05
1645.0,1651.5,1620.75,1628.25,1632.27,40502.0,1444.0,66110067.0,12979.0,32.05,30.75,-16.75
1639.7,1648.8,1612.0,1638.25,1625.11,55857.0,1529.0,90773563.0,20864.0,37.35,36.8,-1.45
1616.05,1645.9,1614.45,1633.6,1632.97,62356.0,2458.0,101825466.0,21500.0,34.48,31.45,17.55
1628.5,1628.5,1584.8,1611.3,1600.03,103244.0,3162.0,165193862.0,33185.0,32.14,43.7,-17.2
1590.0,1620.0,1562.35,1617.85,1598.56,69478.0,2608.0,111065015.0,18247.0,26.26,57.65,27.85
1555.0,1601.65,1543.75,1592.25,1578.97,79266.0,2392.0,125158628.0,16268.0,20.52,57.9,37.25
1561.0,1561.0,1522.0,1553.85,1540.01,81160.0,2565.0,124986895.0,26916.0,33.16,39.0,-7.15
1570.0,1579.25,1550.0,1560.45,1567.99,108062.0,3559.0,169439656.0,57503.0,53.21,29.25,-9.55
1590.0,1594.5,1552.55,1577.0,1566.95,189648.0,4718.0,297169078.0,46966.0,24.76,41.95,-13.0
1556.0,1591.0,1552.5,1585.6,1576.44,127206.0,3825.0,200532283.0,58887.0,46.29,38.5,29.6
1583.95,1583.95,1547.35,1553.85,1567.31,143940.0,3517.0,225598855.0,68337.0,47.48,36.6,-30.1
1583.0,1590.0,1567.35,1584.95,1583.34,45701.0,1288.0,72360199.0,20670.0,45.23,22.65,1.95
1556.9,1584.45,1542.0,1579.2,1570.18,47690.0,1915.0,74881735.0,12473.0,26.15,42.45,22.3
1565.0,1575.9,1547.0,1561.05,1563.86,77811.0,2261.0,121685263.0,27268.0,35.04,28.9,-3.95
1535.0,1557.15,1530.95,1544.35,1542.87,113510.0,3505.0,175131413.0,48802.0,42.99,26.2,9.35
1563.7,1594.95,1500.4,1526.6,1520.17,292238.0,8527.0,444250242.0,98269.0,33.63,94.55,-37.1
1549.15,1578.0,1541.15,1568.65,1561.98,154887.0,3778.0,241930337.0,70001.0,45.19,36.85,19.5
1500.0,1539.0,1477.9,1528.5,1499.64,132172.0,4714.0,198210166.0,64850.0,49.06,61.1,28.5
1520.0,1541.0,1491.05,1527.1,1514.72,123527.0,3861.0,187108956.0,40629.0,32.89,49.95,7.1
1560.05,1569.5,1495.0,1514.75,1514.42,138167.0,5111.0,209243353.0,66802.0,48.35,74.5,-45.3
1559.45,1570.05,1537.5,1557.25,1559.74,172857.0,4748.0,269612234.0,117720.0,68.1,32.55,-2.2
1573.0,1573.45,1529.0,1559.45,1552.42,262667.0,4893.0,407769945.0,191750.0,73.0,44.45,-13.55
1610.0,1610.0,1562.0,1573.85,1581.95,133956.0,7583.0,211911838.0,63626.0,47.5,48.0,-36.15
1642.0,1642.0,1608.95,1622.05,1625.18,98066.0,3436.0,159375015.0,46665.0,47.59,33.05,-19.95
1608.0,1650.55,1601.5,1642.85,1623.8,99192.0,2333.0,161068072.0,42203.0,42.55,49.05,34.85
