Open,High,Low,Close,WAP,NoofShares,NoofTrades,TotalTurnover,DeliverableQuantity,DeliQtytoTradedQty,SpreadHL,SpreadCO
737.8,742.35,735.55,741.15,739.89,237031.0,2923.0,175376734.0,83914.0,35.4,6.8,3.35
735.15,742.0,732.1,733.95,736.5,212699.0,3650.0,156653167.0,73218.0,34.42,9.9,-1.2
745.0,746.6,733.0,734.7,739.29,447430.0,5551.0,330778387.0,254800.0,56.95,13.6,-10.3
748.15,752.05,740.0,741.7,745.62,394085.0,9495.0,293838511.0,179281.0,45.49,12.05,-6.45
735.0,757.8,735.0,754.9,750.55,297704.0,5898.0,223440703.0,120855.0,40.6,22.8,19.9
733.9,736.65,728.0,733.35,734.02,191573.0,2919.0,140618998.0,78698.0,41.08,8.65,-0.55
739.0,739.15,727.95,733.35,732.54,200596.0,3567.0,146944720.0,80836.0,40.3,11.2,-5.65
730.0,743.45,727.0,740.05,735.51,288411.0,4084.0,212129697.0,101551.0,35.21,16.45,10.05
738.9,739.3,723.0,725.15,727.05,228364.0,5285.0,166031812.0,52451.0,22.97,16.3,-13.75
741.0,747.5,736.2,740.1,739.51,168645.0,4165.0,124715494.0,72569.0,43.03,11.3,-0.9
741.25,746.55,733.0,741.75,740.11,331471.0,4212.0,245326278.0,152392.0,45.97,13.55,0.5
753.0,753.0,738.0,739.8,745.71,171101.0,3443.0,127592534.0,57111.0,33.38,15.0,-13.2
750.4,759.65,743.55,754.95,753.77,201502.0,6004.0,151885235.0,76612.0,38.02,16.1,4.55
763.0,763.0,741.0,750.4,748.42,292287.0,5098.0,218754268.0,110375.0,37.76,22.0,-12.6
760.0,768.65,757.55,761.6,763.08,275729.0,4996.0,210403750.0,103010.0,37.36,11.1,1.6
764.0,771.15,755.1,759.85,763.94,312650.0,5263.0,238846865.0,104784.0,33.51,16.05,-4.15
761.1,769.5,760.65,763.35,766.22,241922.0,5082.0,185365242.0,89979.0,37.19,8.85,2.25
754.25,766.15,753.8,762.65,762.78,345880.0,5396.0,263831395.0,141663.0,40.96,12.35,8.4
751.0,760.0,748.55,754.25,754.29,272873.0,4521.0,205825092.0,108271.0,39.68,11.45,3.25
755.0,762.0,747.85,755.65,753.91,329744.0,5778.0,248597481.0,114370.0,34.68,14.15,0.65
753.8,761.8,745.0,756.55,753.6,374496.0,6725.0,282219001.0,122691.0,32.76,16.8,2.75
728.0,751.0,727.05,749.6,747.35,1128305.0,20774.0,843233612.0,540010.0,47.86,23.95,21.6
727.35,734.65,720.6,724.85,725.12,653889.0,4105.0,474150396.0,190188.0,29.09,14.05,-2.5
728.2,730.35,716.55,727.35,720.78,618662.0,3916.0,445918084.0,75012.0,12.12,13.8,-0.85
732.9,733.85,719.05,728.2,727.37,500333.0,3925.0,363929155.0,115675.0,23.12,14.8,-4.7
728.7,737.4,725.0,730.2,731.37,176637.0,3236.0,129187354.0,49388.0,27.96,12.4,1.5
729.5,739.0,721.4,732.8,728.82,185362.0,3723.0,135094991.0,32709.0,17.65,17.6,3.3
743.25,743.25,729.05,731.45,734.82,250110.0,5385.0,183785439.0,90136.0,36.04,14.2,-11.8
740.65,747.2,733.85,744.35,739.39,241180.0,4592.0,178325111.0,82040.0,34.02,13.35,3.7
733.0,750.7,733.0,742.75,744.52,439700.0,8925.0,327364878.0,137761.0,31.33,17.7,9.75
731.95,736.0,726.5,731.0,730.39,203144.0,3873.0,148375145.0,68933.0,33.93,9.5,-0.95
736.45,738.65,728.75,733.4,732.77,284316.0,5276.0,208337326.0,77923.0,27.41,9.9,-3.05
729.0,737.65,729.0,736.55,733.64,570874.0,11316.0,418814984.0,151757.0,26.58,8.65,7.55
705.1,729.8,705.1,726.55,720.79,907834.0,18039.0,654359760.0,296674.0,32.68,24.7,21.45
706.0,709.0,695.7,700.9,700.63,1900868.0,27097.0,1331799063.0,928095.0,48.82,13.3,-5.1
683.9,686.0,672.8,683.7,678.83,965600.0,12333.0,655479670.0,448290.0,46.43,13.2,-0.2
681.15,682.0,672.65,679.75,677.63,591859.0,8422.0,401063191.0,247608.0,41.84,9.35,-1.4
684.9,689.8,664.55,675.85,677.34,1401279.0,21094.0,949135822.0,489766.0,34.95,25.25,-9.05
673.05,677.45,668.2,669.85,672.48,528366.0,5394.0,355317034.0,303901.0,57.52,9.25,-3.2
666.95,682.8,662.35,671.15,669.67,675873.0,7639.0,452615185.0,357734.0,52.93,20.45,4.2
671.1,674.0,651.15,660.75,659.86,532339.0,10650.0,351270236.0,181285.0,34.05,22.85,-10.35
670.9,677.0,663.8,667.55,669.57,355183.0,7225.0,237819351.0,122287.0,34.43,13.2,-3.35
668.0,673.7,662.45,669.3,669.27,419594.0,7740.0,280823190.0,141222.0,33.66,11.25,1.3
661.0,667.0,654.3,664.65,660.53,221951.0,3999.0,146605238.0,76508.0,34.47,12.7,3.65
659.0,662.15,656.1,659.85,659.46,268693.0,4696.0,177191041.0,94545.0,35.19,6.05,0.85
662.8,663.9,656.0,657.6,658.7,288729.0,5692.0,190185141.0,97300.0,33.7,7.9,-5.2
652.1,663.25,649.3,657.35,658.55,512892.0,9622.0,337764620.0,175758.0,34.27,13.95,5.25
648.9,650.0,637.7,644.6,642.06,440867.0,9765.0,283062615.0,171449.0,38.89,12.3,-4.3
658.0,658.8,648.0,649.05,652.39,579592.0,10936.0,378119565.0,192107.0,33.15,10.8,-8.95
660.7,660.7,643.8,645.75,652.96,981311.0,15467.0,640753624.0,436793.0,44.51,16.9,-14.95
662.7,671.45,657.0,666.85,664.98,579639.0,10808.0,385449066.0,152142.0,26.25,14.45,4.15
673.0,673.0,661.75,665.25,665.19,940615.0,11847.0,625688088.0,209146.0,22.24,11.25,-7.75
694.0,694.0,675.0,676.35,679.79,1040768.0,9983.0,707504565.0,775866.0,74.55,19.0,-17.65
713.0,714.0,692.1,693.55,695.83,612157.0,6818.0,425958831.0,345148.0,56.38,21.9,-19.45
695.15,713.0,693.5,705.6,706.04,482934.0,10362.0,340972506.0,112693.0,23.34,19.5,10.45
679.25,698.8,679.25,696.5,691.03,365946.0,7616.0,252879568.0,108275.0,29.59,19.55,17.25
674.95,680.0,671.0,678.7,676.02,345321.0,4521.0,233442868.0,147993.0,42.86,9.0,3.75
665.15,681.2,660.95,674.25,672.3,398365.0,6349.0,267821606.0,105702.0,26.53,20.25,9.1
678.0,683.05,665.7,667.8,670.68,302526.0,6309.0,202898326.0,87807.0,29.02,17.35,-10.2
670.5,685.0,666.5,681.05,678.22,468211.0,4581.0,317548486.0,288736.0,61.67,18.5,10.55
675.3,685.2,664.5,668.2,672.67,598535.0,10597.0,402618414.0,297534.0,49.71,20.7,-7.1
682.2,684.0,673.2,681.45,678.96,494434.0,4211.0,335701937.0,338731.0,68.51,10.8,-0.75
673.9,688.4,671.4,684.45,683.09,463485.0,9012.0,316600290.0,188532.0,40.68,17.0,10.55
670.5,678.5,666.3,669.85,669.96,463557.0,4096.0,310566423.0,287264.0,61.97,12.2,-0.65
663.0,671.95,661.0,666.5,666.27,504992.0,5707.0,336460269.0,248706.0,49.25,10.95,3.5
672.0,675.0,659.0,659.6,663.41,1489912.0,7795.0,988420386.0,331277.0,22.23,16.0,-12.4
643.0,668.25,640.1,666.35,660.9,1150990.0,25588.0,760687744.0,549393.0,47.73,28.15,23.35
627.0,640.0,625.55,637.0,634.31,773589.0,12102.0,490696808.0,330962.0,42.78,14.45,10.0
