Open,High,Low,Close,WAP,NoofShares,NoofTrades,TotalTurnover,DeliverableQuantity,DeliQtytoTradedQty,SpreadHL,SpreadCO
125.0,128.7,124.7,128.0,127.44,555867.0,2699.0,70841382.0,137179.0,24.68,4.0,3.0
124.3,125.8,123.35,124.3,124.06,372438.0,1976.0,46202934.0,70818.0,19.01,2.45,0.0
124.8,127.15,122.7,124.0,124.82,599789.0,2809.0,74863749.0,82098.0,13.69,4.45,-0.8
124.9,126.05,121.75,124.0,124.23,565411.0,2834.0,70239026.0,89737.0,15.87,4.3,-0.9
127.8,127.95,125.3,126.45,126.4,361989.0,3794.0,45757144.0,117818.0,32.55,2.65,-1.35
127.95,128.95,125.7,126.45,127.3,489225.0,3681.0,62278097.0,101949.0,20.84,3.25,-1.5
125.0,127.8,123.75,127.2,126.08,883213.0,5039.0,111353959.0,280450.0,31.75,4.05,2.2
124.0,124.5,122.7,124.25,123.76,266465.0,1655.0,32977129.0,49586.0,18.61,1.8,0.25
119.05,125.5,119.05,122.7,123.74,437268.0,2517.0,54106516.0,65713.0,15.03,6.45,3.65
125.0,127.1,121.5,121.95,123.87,594350.0,6013.0,73623496.0,125957.0,21.19,5.6,-3.05
125.5,127.75,123.1,125.75,125.08,573877.0,2825.0,71778005.0,70984.0,12.37,4.65,0.25
123.0,127.75,120.05,127.2,123.8,905997.0,6677.0,112165597.0,204029.0,22.52,7.7,4.2
127.1,127.1,122.5,122.85,124.15,369868.0,2635.0,45918575.0,100338.0,27.13,4.6,-4.25
125.5,128.0,124.85,125.6,126.42,258120.0,1625.0,32632133.0,55946.0,21.67,3.15,0.1
128.85,128.85,123.8,125.6,125.56,623984.0,2864.0,78349905.0,96782.0,15.51,5.05,-3.25
133.0,134.2,128.25,128.85,129.9,1053846.0,4296.0,136890612.0,128749.0,12.22,5.95,-4.15
129.0,137.05,128.2,135.45,133.52,771030.0,4521.0,102945967.0,164852.0,21.38,8.85,6.45
127.0,129.3,125.65,128.55,127.13,815838.0,2447.0,103718223.0,83400.0,10.22,3.65,1.55
128.0,129.85,125.05,126.45,127.5,615727.0,2987.0,78505425.0,106789.0,17.34,4.8,-1.55
130.25,130.25,126.05,127.45,127.9,717137.0,3245.0,91725156.0,78646.0,10.97,4.2,-2.8
130.1,134.7,128.2,130.25,131.34,777062.0,3701.0,102057020.0,111146.0,14.3,6.5,0.15
134.0,134.45,128.35,131.45,130.4,475208.0,2606.0,61968141.0,105539.0,22.21,6.1,-2.55
132.6,133.2,129.3,132.5,131.5,547790.0,2613.0,72032122.0,84571.0,15.44,3.9,-0.1
127.55,132.3,127.15,130.9,129.34,613952.0,2517.0,79407040.0,119589.0,19.48,5.15,3.35
134.5,134.85,124.55,128.1,127.94,1568751.0,15163.0,200713038.0,311629.0,19.86,10.3,-6.4
138.0,138.6,132.8,134.5,135.94,724347.0,3455.0,98464233.0,132809.0,18.33,5.8,-3.5
137.7,138.05,135.8,137.45,136.91,396867.0,2017.0,54335314.0,72216.0,18.2,2.25,-0.25
137.95,138.35,135.7,136.55,136.68,393495.0,2354.0,53781876.0,61169.0,15.55,2.65,-1.4
139.8,140.9,135.25,136.9,137.39,1771739.0,8271.0,243423269.0,161469.0,9.11,5.65,-2.9
140.95,141.8,137.65,140.0,139.86,1155338.0,4853.0,161585116.0,90436.0,7.83,4.15,-0.95
142.35,142.35,138.5,140.6,140.1,365631.0,1871.0,51223505.0,59347.0,16.23,3.85,-1.75
142.15,144.15,140.35,141.45,142.16,555885.0,2523.0,79022844.0,69846.0,12.56,3.8,-0.7
142.2,144.2,141.3,141.95,142.59,411944.0,2326.0,58740867.0,84088.0,20.41,2.9,-0.25
137.35,142.0,137.0,141.0,139.87,577220.0,2953.0,80736697.0,123727.0,21.43,5.0,3.65
140.6,140.65,135.15,136.25,136.62,747402.0,5231.0,102106447.0,191911.0,25.68,5.5,-4.35
145.7,145.7,139.75,141.6,141.14,758622.0,3789.0,107072728.0,115720.0,15.25,5.95,-4.1
144.95,146.0,143.4,144.45,144.51,310377.0,2151.0,44852417.0,60860.0,19.61,2.6,-0.5
149.0,150.1,142.7,144.75,145.36,754645.0,3811.0,109694634.0,126940.0,16.82,7.4,-4.25
144.0,148.8,144.0,148.15,147.72,559915.0,2338.0,82711162.0,237485.0,42.41,4.8,4.15
146.0,148.9,145.3,145.8,146.73,460233.0,2573.0,67529071.0,109551.0,23.8,3.6,-0.2
145.95,146.75,142.4,144.3,144.23,676334.0,7909.0,97544561.0,162769.0,24.07,4.35,-1.65
150.7,151.25,145.0,145.5,147.12,556878.0,5029.0,81929642.0,122667.0,22.03,6.25,-5.2
153.85,154.35,149.7,150.7,151.94,376884.0,3610.0,57264031.0,70071.0,18.59,4.65,-3.15
154.35,154.35,151.8,153.15,153.0,220522.0,1963.0,33738893.0,40903.0,18.55,2.55,-1.2
155.9,156.65,152.2,152.95,153.8,432466.0,2659.0,66513352.0,94678.0,21.89,4.45,-2.95
155.0,156.0,153.5,154.5,154.68,331279.0,2358.0,51243300.0,43523.0,13.14,2.5,-0.5
156.0,156.9,152.85,154.2,155.42,454505.0,4067.0,70637195.0,99392.0,21.87,4.05,-1.8
151.75,155.95,149.55,154.55,153.21,582680.0,3965.0,89271327.0,87555.0,15.03,6.4,2.8
153.3,154.6,149.45,152.4,152.62,641984.0,3725.0,97980627.0,162401.0,25.3,5.15,-0.9
158.45,159.2,150.1,151.25,154.31,867747.0,4363.0,133899866.0,244587.0,28.19,9.1,-7.2
154.95,158.0,153.8,157.15,156.74,1065803.0,4991.0,167057618.0,223514.0,20.97,4.2,2.2
147.6,156.5,147.6,155.6,153.17,1586772.0,7744.0,243038165.0,409351.0,25.8,8.9,8.0
146.9,149.8,145.8,146.9,147.52,433188.0,2470.0,63902458.0,64646.0,14.92,4.0,0.0
147.5,148.0,146.1,147.4,147.1,327228.0,1892.0,48134087.0,45009.0,13.75,1.9,-0.1
145.0,148.35,143.6,146.8,146.77,402558.0,2107.0,59082124.0,79090.0,19.65,4.75,1.8
145.0,148.85,144.2,145.15,146.53,827069.0,3991.0,121194033.0,166420.0,20.12,4.65,0.15
139.35,144.6,138.2,144.15,142.72,470323.0,2749.0,67125655.0,87675.0,18.64,6.4,4.8
132.0,138.7,131.25,137.7,136.02,634564.0,3076.0,86315143.0,53942.0,8.5,7.45,5.7
134.0,135.9,132.05,133.8,134.4,411148.0,2201.0,55258703.0,83827.0,20.39,3.85,-0.2
140.9,140.9,135.65,138.95,138.31,1153309.0,5779.0,159513893.0,235825.0,20.45,5.25,-1.95
142.9,144.8,138.3,139.1,141.98,782326.0,4647.0,111077164.0,113812.0,14.55,6.5,-3.8
145.95,146.0,143.1,144.1,144.01,327125.0,2614.0,47109282.0,78337.0,23.95,2.9,-1.85
144.2,148.0,143.1,145.8,145.73,816269.0,5709.0,118954109.0,134987.0,16.54,4.9,1.6
145.45,145.7,143.15,144.1,144.04,420376.0,2190.0,60550650.0,84842.0,20.18,2.55,-1.35
145.4,145.5,143.45,144.2,144.19,757917.0,3782.0,109286789.0,121555.0,16.04,2.05,-1.2
141.5,145.15,141.2,143.6,143.48,1273265.0,7838.0,182686807.0,317223.0,24.91,3.95,2.1
132.2,139.45,129.15,138.6,136.99,2001371.0,11232.0,274163322.0,582157.0,29.09,10.3,6.4
131.9,132.75,130.6,131.35,131.56,538737.0,2551.0,70873816.0,142453.0,26.44,2.15,-0.55
134.45,134.45,129.6,131.45,131.05,560573.0,2899.0,73462892.0,142274.0,25.38,4.85,-3.0
136.95,136.95,132.8,133.3,134.97,460421.0,2834.0,62141138.0,96087.0,20.87,4.15,-3.65
131.15,137.0,131.0,136.4,134.77,660787.0,3339.0,89055478.0,152225.0,23.04,6.0,5.25
132.5,134.0,130.2,131.2,131.69,811085.0,3454.0,106809990.0,351356.0,43.32,3.8,-1.3
134.0,134.4,132.1,133.65,133.24,748930.0,3033.0,99787644.0,245577.0,32.79,2.3,-0.35
135.9,136.45,131.2,132.45,133.68,590659.0,3461.0,78961038.0,96591.0,16.35,5.25,-3.45
133.05,136.35,131.95,135.55,134.3,651038.0,2942.0,87431943.0,182815.0,28.08,4.4,2.5
136.95,137.3,132.5,133.7,134.78,459882.0,2988.0,61983574.0,77430.0,16.84,4.8,-3.25
133.9,136.75,130.0,135.3,133.32,634443.0,3300.0,84586616.0,82436.0,12.99,6.75,1.4
136.0,136.5,132.45,133.05,133.75,374424.0,2121.0,50078859.0,98631.0,26.34,4.05,-2.95
136.5,137.15,134.1,136.2,135.8,352386.0,2365.0,47854621.0,84667.0,24.03,3.05,-0.3
137.5,137.5,135.8,136.35,136.25,130522.0,1470.0,17783807.0,92746.0,71.06,1.7,-1.15
137.7,137.75,134.35,134.95,135.56,475109.0,2357.0,64405673.0,93866.0,19.76,3.4,-2.75
135.0,138.7,132.75,134.95,135.56,1296281.0,6601.0,175729420.0,320461.0,24.72,5.95,-0.05
137.95,138.35,133.1,133.85,135.71,2404844.0,8189.0,326373045.0,1465133.0,60.92,5.25,-4.1
129.85,136.65,127.95,135.6,132.98,1683761.0,10188.0,223905643.0,363093.0,21.56,8.7,5.75
125.0,128.55,123.25,127.6,126.41,1600512.0,7640.0,202320796.0,399542.0,24.96,5.3,2.6
122.2,126.1,121.35,123.85,124.62,932414.0,6583.0,116193762.0,169614.0,18.19,4.75,1.65
119.8,122.7,116.4,122.2,120.34,1011797.0,5939.0,121764436.0,182150.0,18.0,6.3,2.4
119.1,120.0,115.75,117.65,118.06,1910164.0,8547.0,225510912.0,719910.0,37.69,4.25,-1.45
114.9,122.25,111.2,116.95,117.91,3311085.0,18836.0,390405997.0,563531.0,17.02,11.05,2.05
